onset	duration	sample	value	event_code	user_answer	correct_answer	target_count
0	n/a	0	break cnt	break cnt	n/a	n/a	8
83.988	n/a	41994	seqLearning_start	91	n/a	n/a	8
93.314	n/a	46657	learningBlock_1	31	n/a	n/a	8
93.332	n/a	46666	dot_no1_ON	11	n/a	n/a	8
93.92	n/a	46960	dot_no1_OFF	21	n/a	n/a	8
95.242	n/a	47621	dot_no6_ON	16	n/a	n/a	8
95.83	n/a	47915	dot_no6_OFF	26	n/a	n/a	8
97.152	n/a	48576	dot_no4_ON	14	n/a	n/a	8
97.742	n/a	48871	dot_no4_OFF	24	n/a	n/a	8
99.062	n/a	49531	dot_no2_ON	12	n/a	n/a	8
99.652	n/a	49826	dot_no2_OFF	22	n/a	n/a	8
100.972	n/a	50486	dot_no7_ON	17	n/a	n/a	8
101.56	n/a	50780	dot_no7_OFF	27	n/a	n/a	8
102.882	n/a	51441	dot_no3_ON	13	n/a	n/a	8
103.472	n/a	51736	dot_no3_OFF	23	n/a	n/a	8
104.792	n/a	52396	dot_no8_ON	18	n/a	n/a	8
105.39	n/a	52695	dot_no8_OFF	28	n/a	n/a	8
106.712	n/a	53356	dot_no5_ON	15	n/a	n/a	8
107.3	n/a	53650	dot_no5_OFF	25	n/a	n/a	8
108.622	n/a	54311	dot_no2_ON	12	n/a	n/a	8
109.21	n/a	54605	dot_no2_OFF	22	n/a	n/a	8
110.532	n/a	55266	dot_no7_ON	17	n/a	n/a	8
111.12	n/a	55560	dot_no7_OFF	27	1-6-4-8-2-7-3-5-7-3	1-6-4-2-7-3-8-5-2-7	8
149.22	n/a	74610	learningBlock_2	32	n/a	n/a	8
149.232	n/a	74616	dot_no1_ON	11	n/a	n/a	8
149.822	n/a	74911	dot_no1_OFF	21	n/a	n/a	8
151.142	n/a	75571	dot_no6_ON	16	n/a	n/a	8
151.732	n/a	75866	dot_no6_OFF	26	n/a	n/a	8
153.052	n/a	76526	dot_no4_ON	14	n/a	n/a	8
153.642	n/a	76821	dot_no4_OFF	24	n/a	n/a	8
154.962	n/a	77481	dot_no2_ON	12	n/a	n/a	8
155.55	n/a	77775	dot_no2_OFF	22	n/a	n/a	8
156.872	n/a	78436	dot_no7_ON	17	n/a	n/a	8
157.46	n/a	78730	dot_no7_OFF	27	n/a	n/a	8
158.782	n/a	79391	dot_no3_ON	13	n/a	n/a	8
159.37	n/a	79685	dot_no3_OFF	23	n/a	n/a	8
160.692	n/a	80346	dot_no8_ON	18	n/a	n/a	8
161.282	n/a	80641	dot_no8_OFF	28	n/a	n/a	8
162.602	n/a	81301	dot_no5_ON	15	n/a	n/a	8
163.19	n/a	81595	dot_no5_OFF	25	n/a	n/a	8
164.512	n/a	82256	dot_no2_ON	12	n/a	n/a	8
165.102	n/a	82551	dot_no2_OFF	22	n/a	n/a	8
166.422	n/a	83211	dot_no7_ON	17	n/a	n/a	8
167.012	n/a	83506	dot_no7_OFF	27	1-6-8-4-2-3-7-5-7-3	1-6-4-2-7-3-8-5-2-7	8
190.826	n/a	95413	learningBlock_3	33	n/a	n/a	8
190.832	n/a	95416	dot_no1_ON	11	n/a	n/a	8
191.422	n/a	95711	dot_no1_OFF	21	n/a	n/a	8
