onset	duration	sample	value	event_code	user_answer	correct_answer	target_count
0	n/a	0	break cnt	break cnt	n/a	n/a	8
102.894	n/a	51447	seqLearning_start	91	n/a	n/a	8
112.23	n/a	56115	learningBlock_1	31	n/a	n/a	8
112.248	n/a	56124	dot_no1_ON	11	n/a	n/a	8
112.838	n/a	56419	dot_no1_OFF	21	n/a	n/a	8
114.158	n/a	57079	dot_no6_ON	16	n/a	n/a	8
114.746	n/a	57373	dot_no6_OFF	26	n/a	n/a	8
116.068	n/a	58034	dot_no4_ON	14	n/a	n/a	8
116.656	n/a	58328	dot_no4_OFF	24	n/a	n/a	8
117.978	n/a	58989	dot_no2_ON	12	n/a	n/a	8
118.566	n/a	59283	dot_no2_OFF	22	n/a	n/a	8
119.888	n/a	59944	dot_no7_ON	17	n/a	n/a	8
120.476	n/a	60238	dot_no7_OFF	27	n/a	n/a	8
121.798	n/a	60899	dot_no3_ON	13	n/a	n/a	8
122.388	n/a	61194	dot_no3_OFF	23	n/a	n/a	8
123.708	n/a	61854	dot_no8_ON	18	n/a	n/a	8
124.296	n/a	62148	dot_no8_OFF	28	n/a	n/a	8
125.618	n/a	62809	dot_no5_ON	15	n/a	n/a	8
126.208	n/a	63104	dot_no5_OFF	25	n/a	n/a	8
127.528	n/a	63764	dot_no2_ON	12	n/a	n/a	8
128.116	n/a	64058	dot_no2_OFF	22	n/a	n/a	8
129.438	n/a	64719	dot_no7_ON	17	n/a	n/a	8
130.028	n/a	65014	dot_no7_OFF	27	1-6-4-8-3-5-7-2-7-4	1-6-4-2-7-3-8-5-2-7	8
154.356	n/a	77178	learningBlock_2	32	n/a	n/a	8
154.368	n/a	77184	dot_no1_ON	11	n/a	n/a	8
154.958	n/a	77479	dot_no1_OFF	21	n/a	n/a	8
156.278	n/a	78139	dot_no6_ON	16	n/a	n/a	8
156.866	n/a	78433	dot_no6_OFF	26	n/a	n/a	8
158.188	n/a	79094	dot_no4_ON	14	n/a	n/a	8
158.776	n/a	79388	dot_no4_OFF	24	n/a	n/a	8
160.098	n/a	80049	dot_no2_ON	12	n/a	n/a	8
160.688	n/a	80344	dot_no2_OFF	22	n/a	n/a	8
162.008	n/a	81004	dot_no7_ON	17	n/a	n/a	8
162.596	n/a	81298	dot_no7_OFF	27	n/a	n/a	8
163.918	n/a	81959	dot_no3_ON	13	n/a	n/a	8
164.508	n/a	82254	dot_no3_OFF	23	n/a	n/a	8
165.828	n/a	82914	dot_no8_ON	18	n/a	n/a	8
166.418	n/a	83209	dot_no8_OFF	28	n/a	n/a	8
167.738	n/a	83869	dot_no5_ON	15	n/a	n/a	8
168.328	n/a	84164	dot_no5_OFF	25	n/a	n/a	8
169.648	n/a	84824	dot_no2_ON	12	n/a	n/a	8
170.238	n/a	85119	dot_no2_OFF	22	n/a	n/a	8
171.558	n/a	85779	dot_no7_ON	17	n/a	n/a	8
172.148	n/a	86074	dot_no7_OFF	27	1-6-4-3-7-2-5-8-7-5	1-6-4-2-7-3-8-5-2-7	8
195.796	n/a	97898	learningBlock_3	33	n/a	n/a	8
195.808	n/a	97904	dot_no1_ON	11	n/a	n/a	8
196.398	n/a	98199	dot_no1_OFF	21	n/a	n/a	8
197.718	n/a	98859	dot_no6_ON	16	n/a	n/a	8
198.308	n/a	99154	dot_no6_OFF	26	n/a	n/a	8
199.628	n/a	99814	dot_no4_ON	14	n/a	n/a	8
200.218	n/a	100109	dot_no4_OFF	24	n/a	n/a	8
201.538	n/a	100769	dot_no2_ON	12	n/a	n/a	8
202.128	n/a	101064	dot_no2_OFF	22	n/a	n/a	8
203.448	n/a	101724	dot_no7_ON	17	n/a	n/a	8
204.038	n/a	102019	dot_no7_OFF	27	n/a	n/a	8
205.358	n/a	102679	dot_no3_ON	13	n/a	n/a	8
205.948	n/a	102974	dot_no3_OFF	23	n/a	n/a	8
207.268	n/a	103634	dot_no8_ON	18	n/a	n/a	8
207.858	n/a	103929	dot_no8_OFF	28	n/a	n/a	8
209.178	n/a	104589	dot_no5_ON	15	n/a	n/a	8
209.768	n/a	104884	dot_no5_OFF	25	n/a	n/a	8
211.088	n/a	105544	dot_no2_ON	12	n/a	n/a	8
211.678	n/a	105839	dot_no2_OFF	22	n/a	n/a	8
212.998	n/a	106499	dot_no7_ON	17	n/a	n/a	8
213.588	n/a	106794	dot_no7_OFF	27	1-6-4-2-7-3-8-5-7-8	1-6-4-2-7-3-8-5-2-7	8
240.23	n/a	120115	learningBlock_4	34	n/a	n/a	8
240.238	n/a	120119	dot_no1_ON	11	n/a	n/a	8
240.828	n/a	120414	dot_no1_OFF	21	n/a	n/a	8
242.148	n/a	121074	dot_no6_ON	16	n/a	n/a	8
242.738	n/a	121369	dot_no6_OFF	26	n/a	n/a	8
244.058	n/a	122029	dot_no4_ON	14	n/a	n/a	8
244.648	n/a	122324	dot_no4_OFF	24	n/a	n/a	8
245.968	n/a	122984	dot_no2_ON	12	n/a	n/a	8
246.558	n/a	123279	dot_no2_OFF	22	n/a	n/a	8
247.878	n/a	123939	dot_no7_ON	17	n/a	n/a	8
248.468	n/a	124234	dot_no7_OFF	27	n/a	n/a	8
249.79	n/a	124895	dot_no3_ON	13	n/a	n/a	8
250.378	n/a	125189	dot_no3_OFF	23	n/a	n/a	8
251.698	n/a	125849	dot_no8_ON	18	n/a	n/a	8
252.288	n/a	126144	dot_no8_OFF	28	n/a	n/a	8
253.61	n/a	126805	dot_no5_ON	15	n/a	n/a	8
254.198	n/a	127099	dot_no5_OFF	25	n/a	n/a	8
255.518	n/a	127759	dot_no2_ON	12	n/a	n/a	8
256.108	n/a	128054	dot_no2_OFF	22	n/a	n/a	8
257.428	n/a	128714	dot_no7_ON	17	n/a	n/a	8
258.018	n/a	129009	dot_no7_OFF	27	1-6-7-5-8-2-3-3-4-3	1-6-4-2-7-3-8-5-2-7	8
276.75	n/a	138375	learningBlock_5	35	n/a	n/a	8
276.758	n/a	138379	dot_no1_ON	11	n/a	n/a	8
277.348	n/a	138674	dot_no1_OFF	21	n/a	n/a	8
278.668	n/a	139334	dot_no6_ON	16	n/a	n/a	8
279.258	n/a	139629	dot_no6_OFF	26	n/a	n/a	8
280.578	n/a	140289	dot_no4_ON	14	n/a	n/a	8
281.168	n/a	140584	dot_no4_OFF	24	n/a	n/a	8
282.49	n/a	141245	dot_no2_ON	12	n/a	n/a	8
283.078	n/a	141539	dot_no2_OFF	22	n/a	n/a	8
284.398	n/a	142199	dot_no7_ON	17	n/a	n/a	8
284.988	n/a	142494	dot_no7_OFF	27	n/a	n/a	8
286.308	n/a	143154	dot_no3_ON	13	n/a	n/a	8
286.898	n/a	143449	dot_no3_OFF	23	n/a	n/a	8
288.22	n/a	144110	dot_no8_ON	18	n/a	n/a	8
288.808	n/a	144404	dot_no8_OFF	28	n/a	n/a	8
290.128	n/a	145064	dot_no5_ON	15	n/a	n/a	8
290.718	n/a	145359	dot_no5_OFF	25	n/a	n/a	8
292.038	n/a	146019	dot_no2_ON	12	n/a	n/a	8
292.628	n/a	146314	dot_no2_OFF	22	n/a	n/a	8
293.948	n/a	146974	dot_no7_ON	17	n/a	n/a	8
294.538	n/a	147269	dot_no7_OFF	27	1-6-4-2-7-3-8-5-2-7	1-6-4-2-7-3-8-5-2-7	8
311.358	n/a	155679	seqLearning_stop	50	n/a	n/a	8
313.391	n/a	156695.5	boundary	boundary	n/a	n/a	8
